pattern,bytes_moved,ms_p50,ms_min,gbps,gbps_peak_min,sm_clock_start_mhz,sm_clock_end_mhz,instrument,warmup_ms,iters,trials,l2_flush,sm_clock_load_mhz,clock_level_ok,clock_drift_ok,note,prov_provenance_version,prov_git_sha,prov_git_dirty,prov_git_dirty_files,prov_utc,prov_hostname,prov_gpu_name,prov_driver_version,prov_cuda_version,prov_python,prov_torch,prov_triton,prov_vllm,prov_sglang,prov_instrument,prov_ridge,prov_ridge_source,prov_bandwidth,prov_bandwidth_source,prov_warmup_ms,prov_iters,prov_target_ms,prov_missing
read_stream,8589934592,1.862015962600708,1.8600640296936035,4613.244335457951,4618.085428712347,1980,1980,"moe.bench.calibrate via timing.time_eager (queue-deep, pre-primed events, L2 flush between iterations); NOT timing.TIMING_BASIS",,,,True,,,,"Triton, one store per program, no cross-CTA combine; stores are 0.012% of traffic and are not counted",1,c09b35357c7d0a7bd921c4ff1a11c5229f795407,True,1,2026-09-24T04:29:01+00:00,1cdbd6a71870,NVIDIA H200,580.159.04,13.0,3.12.3,2.13.0,3.7.1,,,"moe.bench.calibrate via timing.time_eager (queue-deep, pre-primed events, L2 flush between iterations); NOT timing.TIMING_BASIS",148.5,derived from this run's own ceilings,4376.986183297403,"measured here, 'triad' pattern",,,,iters=not supplied by caller; sglang=package not installed; target_ms=supplied as None; vllm=package not installed; warmup_ms=not supplied by caller
read_reduce,8589934592,1.9227039813995361,1.9171199798583984,4467.632394325926,4480.645281592895,1980,1980,"moe.bench.calibrate via timing.time_eager (queue-deep, pre-primed events, L2 flush between iterations); NOT timing.TIMING_BASIS",,,,True,,,,"ATen reduction along the contiguous axis; a LOWER BOUND on the DRAM read rate, not the read rate",1,c09b35357c7d0a7bd921c4ff1a11c5229f795407,True,1,2026-09-24T04:29:01+00:00,1cdbd6a71870,NVIDIA H200,580.159.04,13.0,3.12.3,2.13.0,3.7.1,,,"moe.bench.calibrate via timing.time_eager (queue-deep, pre-primed events, L2 flush between iterations); NOT timing.TIMING_BASIS",148.5,derived from this run's own ceilings,4376.986183297403,"measured here, 'triad' pattern",,,,iters=not supplied by caller; sglang=package not installed; target_ms=supplied as None; vllm=package not installed; warmup_ms=not supplied by caller
copy,17179869184,3.9951999187469482,3.992095947265625,4300.127536393294,4303.471011453846,1980,1980,"moe.bench.calibrate via timing.time_eager (queue-deep, pre-primed events, L2 flush between iterations); NOT timing.TIMING_BASIS",,,,True,,,,,1,c09b35357c7d0a7bd921c4ff1a11c5229f795407,True,1,2026-09-24T04:29:01+00:00,1cdbd6a71870,NVIDIA H200,580.159.04,13.0,3.12.3,2.13.0,3.7.1,,,"moe.bench.calibrate via timing.time_eager (queue-deep, pre-primed events, L2 flush between iterations); NOT timing.TIMING_BASIS",148.5,derived from this run's own ceilings,4376.986183297403,"measured here, 'triad' pattern",,,,iters=not supplied by caller; sglang=package not installed; target_ms=supplied as None; vllm=package not installed; warmup_ms=not supplied by caller
triad,25769803776,5.88756799697876,5.879807949066162,4376.986183297403,4382.762838383656,1980,1980,"moe.bench.calibrate via timing.time_eager (queue-deep, pre-primed events, L2 flush between iterations); NOT timing.TIMING_BASIS",,,,True,,,,canonical STREAM metric; the default ceiling,1,c09b35357c7d0a7bd921c4ff1a11c5229f795407,True,1,2026-09-24T04:29:01+00:00,1cdbd6a71870,NVIDIA H200,580.159.04,13.0,3.12.3,2.13.0,3.7.1,,,"moe.bench.calibrate via timing.time_eager (queue-deep, pre-primed events, L2 flush between iterations); NOT timing.TIMING_BASIS",148.5,derived from this run's own ceilings,4376.986183297403,"measured here, 'triad' pattern",,,,iters=not supplied by caller; sglang=package not installed; target_ms=supplied as None; vllm=package not installed; warmup_ms=not supplied by caller
write,8589934592,1.8350720405578613,1.831712007522583,4680.979494074065,4689.566130877752,1980,1980,"moe.bench.calibrate via timing.time_eager (queue-deep, pre-primed events, L2 flush between iterations); NOT timing.TIMING_BASIS",,,,True,,,,1N proven (2N would exceed the pin rate by 94%); unflushed so the timed window cannot shed writeback,1,c09b35357c7d0a7bd921c4ff1a11c5229f795407,True,1,2026-09-24T04:29:01+00:00,1cdbd6a71870,NVIDIA H200,580.159.04,13.0,3.12.3,2.13.0,3.7.1,,,"moe.bench.calibrate via timing.time_eager (queue-deep, pre-primed events, L2 flush between iterations); NOT timing.TIMING_BASIS",148.5,derived from this run's own ceilings,4376.986183297403,"measured here, 'triad' pattern",,,,iters=not supplied by caller; sglang=package not installed; target_ms=supplied as None; vllm=package not installed; warmup_ms=not supplied by caller
