setting,num_stages,num_warps,group_m,block_m,tiles,rows_per_expert,tokens,rep,ms_p50,ms_min,ms_stdev,iters,status,detail,instrument,warmup_ms,trials,sm_clock_load_mhz,sm_clock_start_mhz,sm_clock_end_mhz,clock_samples_mhz,power_w,clock_level_ok,clock_drift_ok,l2_flush,clock_level_side
s3w8g64,3,8,64,64,2,128,512,1,1.3650879859924316,1.2575039863586426,0.02907373616043604,294,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,361.75532829761505,3,1410.0,1560.0,1410.0,1560 1560 1410 1410 1410 1410 1410 1410 1440 1440 1275 1275 1410 1410 1410 1410 1440 1440 1425 1425 1425 1425 1410 1410 1410,692.328,True,False,True,
s2w8g1,2,8,1,64,2,128,512,1,1.6732159852981567,1.626688003540039,0.02286262173228835,237,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,366.5589438676834,3,1477.5,1455.0,1470.0,1455 1500 1500 1485 1485 1485 1485 1485 1485 1470 1470 1440 1440 1500 1500 1455 1455 1470 1470 1485 1485 1470 1470 1470,694.49,True,True,True,
s3w8g8,3,8,8,64,2,128,512,1,1.3278239965438843,1.2754559516906738,0.023704666172001083,300,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,362.1180146932602,3,1410.0,1470.0,1410.0,1470 1470 1395 1395 1395 1395 1410 1410 1410 1410 1305 1305 1410 1410 1425 1425 1410 1410 1410 1410 1425 1425 1410 1410 1410,692.587,True,True,True,
s3w8g16,3,8,16,64,2,128,512,1,1.344383955001831,1.3021119832992554,0.019832183637227,294,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,364.22204315662384,3,1410.0,1410.0,1410.0,1410 1440 1440 1410 1410 1410 1410 1410 1410 1410 1410 1380 1380 1410 1410 1410 1410 1410 1410 1410 1410 1410 1410 1410 1410,693.75,True,True,True,
s4w8g1,4,8,1,64,2,128,512,1,1.5093920230865479,1.4585280418395996,0.03381452015781179,264,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,357.4591419696808,3,1395.0,1425.0,1395.0,1425 1425 1350 1350 1365 1365 1380 1380 1380 1380 1095 1095 1395 1395 1395 1395 1395 1395 1395 1395 1395 1395 1395 1395 1395,696.217,True,True,True,
s3w4g1,3,4,1,64,3,192,768,1,2.1809279918670654,2.101792097091675,0.03819098724594734,182,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,367.1767635345459,3,1395.0,1395.0,1395.0,1395 1410 1410 1395 1395 1395 1395 1395 1395 1395 1395 1290 1290 1410 1410 1410 1410 1395 1395 1395 1395 1395 1395 1395,695.384,True,True,True,
s2w4g1,2,4,1,64,3,192,768,1,2.0775039196014404,2.0354878902435303,0.03822811836985037,193,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,356.7983033657074,3,1410.0,1440.0,1425.0,1440 1440 1410 1410 1410 1410 1410 1410 1410 1410 1275 1275 1425 1425 1425 1425 1410 1410 1410 1410 1410 1410 1425 1425,693.1514999999999,True,True,True,
s3w8g1,3,8,1,64,3,192,768,1,2.273375988006592,2.2352640628814697,0.031778988245459536,174,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,356.87014079093933,3,1365.0,1380.0,1365.0,1380 1365 1365 1395 1395 1365 1365 1380 1380 1365 1365 1350 1350 1395 1395 1395 1395 1365 1365 1380 1380 1365 1365 1365,697.333,False,True,True,low
s5w8g1,5,8,1,64,3,192,768,1,2.283344030380249,2.243391990661621,0.04317090272278544,174,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,359.1068158149719,3,1380.0,1380.0,1395.0,1380 1395 1395 1365 1365 1380 1380 1380 1380 1395 1395 1260 1260 1395 1395 1380 1380 1365 1365 1380 1380 1380 1380 1395,698.021,False,True,True,low
s3w8g64,3,8,64,64,3,192,768,1,1.9835200309753418,1.9287680387496948,0.032138102822884214,202,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,365.78396701812744,3,1432.5,1470.0,1425.0,1470 1470 1425 1425 1425 1425 1440 1440 1455 1455 1305 1305 1440 1440 1440 1440 1425 1425 1440 1440 1425 1425 1425 1425,694.293,True,True,True,
s3w8g16,3,8,16,64,3,192,768,1,1.98089599609375,1.9203519821166992,0.028428082116397316,203,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,363.2516794204712,3,1425.0,1440.0,1425.0,1440 1425 1425 1425 1425 1425 1425 1425 1425 1410 1410 1410 1410 1455 1455 1425 1425 1425 1425 1425 1425 1425 1425 1425,693.265,True,True,True,
s4w8g1,4,8,1,64,3,192,768,1,2.294480085372925,2.227936029434204,0.02367005351157249,176,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,358.1154248714447,3,1365.0,1365.0,1365.0,1365 1380 1380 1350 1350 1365 1365 1365 1365 1380 1380 1245 1245 1380 1380 1365 1365 1365 1365 1365 1365 1365 1365 1365,695.1445,False,True,True,low
s3w8g8,3,8,8,64,3,192,768,1,1.962015986442566,1.9306559562683105,0.029438563347507003,201,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,368.3644176721573,3,1425.0,1410.0,1425.0,1410 1410 1425 1425 1425 1425 1410 1410 1425 1425 1365 1365 1410 1410 1425 1425 1410 1410 1410 1425 1425 1425 1425 1425,693.058,True,True,True,
s2w8g1,2,8,1,64,3,192,768,1,2.4850881099700928,2.371488094329834,0.05480957623713319,161,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,353.88019251823425,3,1455.0,1470.0,1455.0,1470 1545 1545 1425 1425 1425 1425 1440 1440 1560 1560 1425 1425 1605 1605 1440 1440 1605 1605 1470 1470 1455 1455 1455,694.942,True,True,True,
s3w8g64,3,8,64,256,1,256,1024,1,2.094256043434143,2.0446720123291016,0.1295743816242728,192,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,357.39952087402344,3,1665.0,1680.0,1665.0,1680 1665 1665 1680 1680 1680 1680 1680 1680 1410 1410 1350 1350 1545 1545 1635 1635 1650 1650 1665 1665 1665 1665 1665 1665,681.893,False,True,True,high
s3w8g16,3,8,16,256,1,256,1024,1,2.095679998397827,2.0498878955841064,0.11151569868554974,190,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,360.0852108001709,3,1665.0,1665.0,1665.0,1665 1665 1665 1665 1665 1665 1665 1665 1665 1665 1290 1455 1455 1575 1575 1605 1605 1665 1665 1665 1665 1665 1665 1665 1665,689.208,False,True,True,high
s5w8g1,5,8,1,64,4,256,1024,1,3.0646560192108154,2.9449920654296875,0.056509200843251936,128,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,352.07212805747986,3,1365.0,1335.0,1365.0,1335 1335 1365 1365 1395 1395 1395 1395 1410 1410 1230 1230 1410 1410 1365 1365 1320 1320 1305 1305 1320 1320 1365,696.199,False,True,True,low
s2w4g1,2,4,1,64,4,256,1024,1,2.812864065170288,2.6798079013824463,0.05647205999801589,143,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,347.8872985839844,3,1440.0,1440.0,1425.0,1440 1470 1470 1425 1425 1410 1410 1425 1425 1425 1425 1275 1275 1440 1440 1470 1470 1455 1455 1440 1440 1440 1440 1425,694.955,True,True,True,
s5w8g1,5,8,1,256,1,256,1024,1,1.9612159729003906,1.8645119667053223,0.12684725927230897,204,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,365.89596939086914,3,1695.0,1755.0,1695.0,1755 1755 1710 1710 1710 1710 1710 1710 1665 1665 1335 1335 1605 1605 1665 1665 1680 1680 1710 1710 1695 1695 1710 1710 1695,692.85,False,True,True,high
