arm	state	rc	seconds	dirty	log	note
thermal	DONE	0	155	0	/workspace/session/alpha_g-nvidia_h200-20260923T163248Z/logs/thermal.log	log agrees: RESULT lines imply 0
calibrate	DONE	0	27	1	/workspace/session/alpha_g-nvidia_h200-20260923T163248Z/logs/calibrate.log	log agrees: RESULT lines imply 0
pin_probe-n64-g1	DONE	0	27	1	/workspace/session/alpha_g-nvidia_h200-20260923T163248Z/logs/pin_probe-n64-g1.log	log agrees: RESULT lines imply 0
