G	n	seeds	mean	sd	env_lo	env_hi	joint	invalid_in_envelope	eta	eta_lo	eta_hi	band	eta_exit	note
1	3	0 1 2	0.9150	0.0003	0.9144	0.9156	FAIL	none	0.3970	0.3873	0.4066	STRADDLES	CLAIM_FAIL	none
4	3	0 1 2	0.7056	0.0027	0.7033	0.7090	FAIL	none	1.1291	1.0683	1.2004	CLOCK-CARRIES	CLAIM_FAIL	none
16	3	0 1 2	0.6803	0.0032	0.6767	0.6846	FAIL	none	1.1384	1.0930	1.2749	withheld:INVALID	INVALID	none
64	3	0 1 2	0.6170	0.0019	0.6128	0.6193	FAIL	none	1.1220	1.0373	1.2124	CLOCK-CARRIES	CLAIM_FAIL	none
