setting,num_stages,num_warps,group_m,block_m,tiles,rows_per_expert,tokens,rep,ms_p50,ms_min,ms_stdev,iters,status,detail,instrument,warmup_ms,trials,sm_clock_load_mhz,sm_clock_start_mhz,sm_clock_end_mhz,clock_samples_mhz,power_w,clock_level_ok,clock_drift_ok,l2_flush,clock_level_side
s3w8g64,3,8,64,64,2,128,512,1,1.362991988658905,1.2757760286331177,0.034276323252102905,292,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,364.7211230993271,3,1410.0,1410.0,1425.0,1410 1425 1425 1410 1410 1410 1410 1425 1425 1425 1425 1335 1335 1410 1410 1410 1410 1440 1440 1410 1410 1410 1410 1425 1425,692.334,True,True,True,
s2w8g1,2,8,1,64,2,128,512,1,1.6660959720611572,1.599552035331726,0.028810733638961004,238,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,363.1466234922409,3,1485.0,1470.0,1500.0,1470 1470 1500 1500 1470 1470 1470 1470 1485 1485 1380 1380 1455 1455 1485 1485 1500 1500 1485 1485 1485 1485 1500 1500,694.0485,True,True,True,
s3w8g8,3,8,8,64,2,128,512,1,1.3260159492492676,1.2113920450210571,0.024544554357428187,301,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,363.2503982782364,3,1410.0,1395.0,1410.0,1395 1440 1440 1410 1410 1425 1425 1410 1410 1455 1455 1365 1365 1440 1440 1410 1410 1395 1395 1410 1410 1410 1410 1410 1410,693.897,True,True,True,
s3w8g16,3,8,16,64,2,128,512,1,1.346943974494934,1.232192039489746,0.028383454026369208,300,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,360.2589761018753,3,1410.0,1425.0,1395.0,1425 1425 1395 1395 1395 1395 1395 1395 1410 1410 1380 1380 1380 1380 1425 1425 1410 1410 1410 1410 1410 1410 1410 1410 1395,695.053,True,True,True,
s4w8g1,4,8,1,64,2,128,512,1,1.5045119524002075,1.3942079544067383,0.06321250647871529,267,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,358.80585610866547,3,1395.0,1590.0,1410.0,1590 1590 1320 1320 1425 1425 1380 1380 1365 1365 930 930 1335 1335 1365 1365 1395 1395 1395 1395 1410 1410 1410 1410 1410,695.013,True,False,True,
s3w4g1,3,4,1,64,3,192,768,1,2.187135934829712,2.0974719524383545,0.06284937340128778,182,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,364.3797125816345,3,1395.0,1440.0,1395.0,1440 1440 1410 1410 1380 1380 1395 1395 1425 1425 1140 1140 1350 1350 1410 1410 1380 1380 1395 1395 1410 1410 1395 1395,696.14,True,True,True,
s2w4g1,2,4,1,64,3,192,768,1,2.0738719701766968,1.9789119958877563,0.04905731846368017,190,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,357.4482228755951,3,1417.5,1410.0,1425.0,1410 1410 1425 1425 1425 1425 1410 1410 1425 1425 1380 1380 1365 1365 1440 1440 1425 1425 1410 1410 1410 1410 1425 1425,692.8225,True,True,True,
s3w8g1,3,8,1,64,3,192,768,1,2.276671886444092,2.129024028778076,0.04372128374789252,173,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,358.2873287200928,3,1365.0,1320.0,1395.0,1320 1350 1350 1365 1365 1365 1365 1380 1380 1395 1395 1380 1380 1380 1380 1380 1380 1320 1320 1365 1365 1350 1350 1395,695.12,False,False,True,low
s5w8g1,5,8,1,64,3,192,768,1,2.2984321117401123,2.1846399307250977,0.038922288539420494,175,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,358.0267198085785,3,1357.5,1410.0,1365.0,1410 1410 1410 1380 1380 1350 1350 1350 1350 1335 1335 1305 1305 1410 1410 1350 1350 1275 1275 1395 1395 1395 1395 1365,694.2345,False,True,True,low
s3w8g64,3,8,64,64,3,192,768,1,1.9781759977340698,1.8538559675216675,0.033212057418464586,200,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,367.2950097322464,3,1440.0,1575.0,1425.0,1575 1575 1425 1425 1425 1425 1440 1440 1440 1440 1350 1350 1440 1440 1440 1440 1440 1440 1410 1410 1440 1440 1425 1425,695.75,True,False,True,
s3w8g16,3,8,16,64,3,192,768,1,1.9215520024299622,1.8324480056762695,0.1548598141933934,210,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,357.0038409233093,3,1470.0,1530.0,1470.0,1530 1530 1485 1485 1485 1485 1455 1455 1455 1455 960 960 1320 1320 1440 1440 1485 1485 1470 1470 1470 1470 1485 1485 1470,692.599,True,True,True,
s4w8g1,4,8,1,64,3,192,768,1,2.2644801139831543,2.0990400314331055,0.05802846655840436,171,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,384.17027258872986,3,1395.0,1530.0,1395.0,1530 1530 1410 1410 1410 1410 1410 1410 1410 1410 1305 1305 1395 1395 1290 1290 1365 1365 1140 1140 1365 1365 1395 1395,695.7094999999999,True,False,True,
s3w8g8,3,8,8,64,3,192,768,1,1.9757279753684998,1.8646719455718994,0.06101169152188419,208,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,359.6212829351425,3,1410.0,1485.0,1410.0,1485 1485 1410 1410 1380 1380 1380 1380 1410 1410 1200 1200 1410 1410 1425 1425 1455 1455 1470 1470 1425 1425 1410 1410 1410,690.695,True,False,True,
s2w8g1,2,8,1,64,3,192,768,1,2.447455883026123,2.332479953765869,0.07129230573815361,163,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,372.6301472187042,3,1485.0,1635.0,1515.0,1635 1635 1485 1485 1485 1485 1500 1500 1485 1485 1230 1230 1455 1455 1470 1470 1470 1470 1500 1500 1500 1500 1515 1515,698.8975,True,False,True,
s3w8g64,3,8,64,256,1,256,1024,1,2.082047939300537,2.040895938873291,0.12148729114144596,194,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,355.719646692276,3,1680.0,1710.0,1665.0,1710 1710 1695 1695 1680 1680 1680 1695 1695 1455 1455 1350 1350 1545 1545 1620 1620 1680 1680 1695 1695 1695 1695 1665 1665,690.481,False,True,True,high
s3w8g16,3,8,16,256,1,256,1024,1,2.083407998085022,2.0333120822906494,0.13723980644553152,190,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,357.95440340042114,3,1680.0,1740.0,1680.0,1740 1740 1680 1680 1695 1695 1680 1680 1695 1695 1230 1230 1440 1440 1605 1605 1665 1665 1650 1650 1680 1680 1680 1680 1680,691.718,False,True,True,high
s5w8g1,5,8,1,64,4,256,1024,1,3.037087917327881,2.939455986022949,0.06901737032973698,127,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,356.9523808956146,3,1365.0,1245.0,1305.0,1245 1365 1365 1380 1380 1380 1380 1410 1410 1410 1410 1350 1350 1410 1410 1335 1335 1275 1275 1245 1245 1305 1305,694.319,False,True,True,low
s2w4g1,2,4,1,64,4,256,1024,1,2.805919885635376,2.631903886795044,0.08150389321102441,143,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,367.29711866378784,3,1455.0,1455.0,1425.0,1455 1470 1470 1410 1410 1410 1410 1410 1410 1410 1410 1365 1365 1470 1470 1470 1470 1455 1455 1500 1500 1455 1455 1425,693.418,True,True,True,
s5w8g1,5,8,1,256,1,256,1024,1,1.9682719707489014,1.8530880212783813,0.11408206374697627,204,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,359.3853762149811,3,1695.0,1710.0,1695.0,1710 1695 1695 1695 1695 1695 1695 1710 1710 1605 1605 1425 1425 1635 1635 1695 1695 1710 1710 1740 1740 1710 1710 1695 1695,681.536,False,True,True,high
s3w4g1,3,4,1,64,4,256,1024,1,2.923408031463623,2.8066558837890625,0.06869372438484538,134,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,367.81210136413574,3,1365.0,1350.0,1380.0,1350 1350 1395 1395 1410 1410 1425 1425 1410 1410 1155 1155 1305 1305 1410 1410 1320 1320 1290 1290 1335 1335 1380 1380,695.616,False,True,True,low
s4w8g1,4,8,1,64,4,256,1024,1,3.042112112045288,2.946239948272705,0.07044445163941797,130,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,366.6384937763214,3,1372.5,1395.0,1305.0,1395 1395 1365 1365 1305 1305 1290 1290 1305 1215 1215 1275 1275 1380 1380 1395 1395 1380 1380 1395 1395 1395 1395 1305,695.1614999999999,False,False,True,low
s3w8g1,3,8,1,256,1,256,1024,1,2.0275840759277344,1.9901759624481201,0.13378969546021063,197,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,351.33404636383057,3,1710.0,1725.0,1725.0,1725 1725 1725 1710 1710 1710 1710 1710 1710 1605 1605 1305 1305 1530 1530 1710 1710 1710 1710 1710 1710 1710 1710 1725 1725,680.775,False,True,True,high
s2w8g1,2,8,1,256,1,256,1024,1,2.201215982437134,2.128671884536743,0.11711526067817406,182,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,367.64873218536377,3,1800.0,1800.0,1815.0,1800 1800 1815 1815 1800 1800 1800 1800 1800 1800 1350 1350 1545 1545 1725 1725 1770 1770 1770 1770 1800 1800 1800 1800 1815,692.495,False,True,True,high
s3w8g8,3,8,8,256,1,256,1024,1,2.0715359449386597,2.005728006362915,0.11298921288906731,192,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,354.972220659256,3,1680.0,1770.0,1710.0,1770 1770 1695 1695 1695 1695 1680 1680 1695 1695 1275 1275 1530 1530 1620 1620 1680 1680 1650 1650 1665 1665 1665 1665 1710,692.336,False,True,True,high
