block_m,tiles,rows_per_expert,tokens,rep,ms_p50,ms_min,ms_stdev,iters,status,detail,instrument,warmup_ms,trials,sm_clock_load_mhz,clock_level_ok,clock_drift_ok,l2_flush,reference_clock_mhz,clock_level_side
256,1,256,1024,1,1.9524480104446411,1.760256052017212,0.11834502278066303,205,ok,,queue-deep/l2-flush/clock-under-load/v3,335.0955855846405,3,1695.0,False,False,True,1485.0,high
256,2,512,2048,1,3.9274559020996094,3.8508799076080322,0.06127121799112883,97,ok,,queue-deep/l2-flush/clock-under-load/v3,331.82754921913147,3,1650.0,False,True,True,1485.0,high
256,3,768,3072,1,5.864688158035278,5.7475199699401855,0.15159006484439913,68,ok,,queue-deep/l2-flush/clock-under-load/v3,330.703106880188,3,1657.5,False,True,True,1485.0,high
256,4,1024,4096,1,7.794367790222168,7.641503810882568,0.22661135030421103,49,ok,,queue-deep/l2-flush/clock-under-load/v3,333.6383352279663,3,1650.0,False,True,True,1485.0,high
256,5,1280,5120,1,9.792912006378174,9.62070369720459,0.31677792668724,40,ok,,queue-deep/l2-flush/clock-under-load/v3,335.5261449813843,3,1620.0,False,True,True,1485.0,high
256,6,1536,6144,1,11.762016296386719,11.531295776367188,0.3923652204212103,33,ok,,queue-deep/l2-flush/clock-under-load/v3,335.3028793334961,3,1650.0,False,True,True,1485.0,high
256,7,1792,7168,1,13.752383708953857,13.530847549438477,0.534685206264283,28,ok,,queue-deep/l2-flush/clock-under-load/v3,322.6049919128418,3,1650.0,False,True,True,1485.0,high
256,8,2048,8192,1,15.708000183105469,15.262816429138184,0.7810002177634828,25,ok,,queue-deep/l2-flush/clock-under-load/v3,323.9586229324341,3,1650.0,False,True,True,1485.0,high
256,1,256,1024,2,2.0021119117736816,1.9451520442962646,0.05392383441787047,185,ok,,queue-deep/l2-flush/clock-under-load/v3,343.68428802490234,3,1665.0,False,True,True,1485.0,high
256,2,512,2048,2,3.8930559158325195,3.7170560359954834,0.11153462757957414,103,ok,,queue-deep/l2-flush/clock-under-load/v3,333.25206327438354,3,1680.0,False,True,True,1485.0,high
256,3,768,3072,2,5.9121599197387695,5.799808025360107,0.1255257764060687,65,ok,,queue-deep/l2-flush/clock-under-load/v3,339.6583375930786,3,1650.0,False,True,True,1485.0,high
256,4,1024,4096,2,7.86190390586853,7.710080146789551,0.22170053899499173,50,ok,,queue-deep/l2-flush/clock-under-load/v3,329.53542470932007,3,1650.0,False,True,True,1485.0,high
256,5,1280,5120,2,9.810432434082031,9.53279972076416,0.2747363053147765,39,ok,,queue-deep/l2-flush/clock-under-load/v3,338.4733409881592,3,1650.0,False,True,True,1485.0,high
256,6,1536,6144,2,11.821824073791504,11.647744178771973,0.4253239845473147,34,ok,,queue-deep/l2-flush/clock-under-load/v3,333.5741443634033,3,1650.0,False,True,True,1485.0,high
